,value,abs_value
COMSTO,0.093701933,0.093701933
M_MD_R3000,0.093654835,0.093654835
LandUs,0.086911924,0.086911924
EDUCAT,-0.082224211,0.082224211
POP_SEG,-0.078881522,0.078881522
M_MD_R3500,0.062443113,0.062443113
M_MD_R5000,0.05999906,0.05999906
A_I_RN,0.056863762,0.056863762
M_MD_RN,-0.056349598,0.056349598
M_CH_RN,-0.054461516,0.054461516
M_MD_R4000,0.043465392,0.043465392
A_I_R3000,0.035794577,0.035794577
A_I_R1000,0.035068709,0.035068709
T_Ch_R1500,0.034625415,0.034625415
A_Ch_R1500,0.034528054,0.034528054
M_MD_R2500,0.034227486,0.034227486
A_Ch_R2000,0.033255824,0.033255824
M_MD_R1250,0.032662876,0.032662876
M_CH_R1000,0.032350599,0.032350599
A_Ch_R1250,0.031842662,0.031842662
A_Ch_R1000,0.031817798,0.031817798
M_CH_R1250,0.031753287,0.031753287
M_MD_R2000,0.031628294,0.031628294
M_MD_R500,-0.031508028,0.031508028
T_Ch_R2500,0.03082715,0.03082715
CULSPOR,0.030486377,0.030486377
A_I_R4000,0.03012119,0.03012119
A_I_R2500,0.029968077,0.029968077
A_I_R3500,0.029921287,0.029921287
A_I_R1500,0.029781402,0.029781402
A_I_R1250,0.029639918,0.029639918
M_CH_R1500,0.029547163,0.029547163
T_Ch_R1000,0.029215854,0.029215854
A_I_R750,0.028590439,0.028590439
INDUST,0.028285274,0.028285274
A_Ch_R2500,0.027201749,0.027201749
M_MD_R4500,0.02675337,0.02675337
Park,-0.025442737,0.025442737
T_Ch_R1250,0.024735862,0.024735862
A_I_R4500,0.024457901,0.024457901
A_I_R2000,0.024447354,0.024447354
T_Ch_R500,0.024398596,0.024398596
A_I_R5000,0.023376662,0.023376662
M_CH_R2000,0.02286299,0.02286299
PUBINST,0.020739096,0.020739096
T_Ch_R2000,0.020636499,0.020636499
M_CH_R750,0.020000927,0.020000927
A_Ch_R250,-0.018956181,0.018956181
T_Ch_R250,-0.018194406,0.018194406
A_Ch_R3000,0.018143815,0.018143815
A_Ch_R500,-0.017836372,0.017836372
T_Ch_R750,0.01689551,0.01689551
M_MD_R1000,0.01596995,0.01596995
M_CH_R250,-0.015190567,0.015190567
M_MD_R250,0.014283822,0.014283822
M_CH_R2500,0.013821765,0.013821765
A_Ch_R5000,0.012581156,0.012581156
A_Ch_R750,0.011615047,0.011615047
A_Ch_R3500,0.011521977,0.011521977
A_Ch_RN,0.011151168,0.011151168
A_Ch_R4500,0.011099951,0.011099951
M_MD_R1500,-0.010803015,0.010803015
M_CH_R3000,0.010387848,0.010387848
A_Ch_R4000,0.010218724,0.010218724
T_Ch_R3000,0.009313377,0.009313377
M_CH_R3500,0.008820327,0.008820327
T_Ch_R4500,-0.008671169,0.008671169
M_CH_R4000,0.007941022,0.007941022
T_Ch_RN,0.006413924,0.006413924
M_CH_R4500,0.005885226,0.005885226
A_I_R250,-0.005288613,0.005288613
T_Ch_R5000,-0.004388393,0.004388393
A_I_R500,0.004367478,0.004367478
T_Ch_R3500,-0.004050738,0.004050738
BANKOFF,0.003049141,0.003049141
M_CH_R5000,0.002496236,0.002496236
T_Ch_R4000,0.001411396,0.001411396
M_CH_R500,-0.000938034,0.000938034
M_MD_R750,-0.000104022,0.000104022
